"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Utkarsh Small Finance Bank",32,"Other","Other",8.9226582995244,388,3.7,4100,0.109
"Tata AIA Life Insurance",58,"Other","Mumbai",8.00636756765025,422,3.9,4100,0.139
"Hetero",31,"Pharma","Other",8.00636756765025,65,3.8,4100,0.148
"Motilal Oswal Financial Services",41,"Financial Services","Mumbai",8.9226582995244,164,3.7,4100,0.125
"Team Lease",154,"Other","Bangalore / Bengaluru",10.3089526606443,386,3.9,4000,0.157
"Bajaj Auto",38,"Other","Pune",10.3089526606443,308,3.8,4000,0.142
"Lenskart",9,"Internet","New Delhi",8.9226582995244,232,3.2,3900,0.127
"Thermax Limited",8,"Industrial Machinery","Pune",8.00636756765025,240,4.2,3900,0.128
"Berger Paints",39,"Other","Other",8.00636756765025,335,3.7,3900,0.095
"Macleods Pharmaceuticals",16,"Pharma","Mumbai",10.3089526606443,128,3.6,3900,0.156
"LG Electronics",33,"Other","Pune",10.3089526606443,290,3.9,3900,0.108
"Aakash Educational Services",6,"Education & Training","New Delhi",8.9226582995244,240,3.2,3900,0.132
"Tata Communications",16,"Other","Pune",8.00636756765025,98,3.9,3900,0.23
"Royal Enfield",121,"Other","Chennai",8.9226582995244,364,4.2,3900,0.143
"John Deere",65,"Industrial Machinery","Pune",10.3089526606443,149,4,3800,0.15
"VE Commercial Vehicles",17,"Other","Other",8.9226582995244,151,3.9,3800,0.131
"Jubilant Foods Works",75,"Other","New Delhi",8.00636756765025,251,3.7,3800,0.088
"HDFC Ergo General Insurance",70,"Other","Mumbai",8.9226582995244,317,3.9,3800,0.12
"Oyo Rooms",62,"Internet","Other",8.00636756765025,119,3.1,3800,0.151
"Jindal Steel Limited",117,"Other","Other",10.3089526606443,170,3.9,3800,0.149
"DCB Bank",171,"Other","Mumbai",10.3089526606443,335,3.8,3800,0.096
"Hindalco Industries",174,"Other","Other",10.3089526606443,122,4.2,3700,0.117
"Reliance Communications",13,"Other","Mumbai",8.9226582995244,464,4,3700,0.097
"Cummins",17,"Industrial Machinery","Pune",8.9226582995244,111,4.3,3700,0.153
"State Street Corporation",65,"Financial Services","Bangalore / Bengaluru",8.9226582995244,33,3.6,3700,0.301
"RBL Bank",47,"Other","Mumbai",10.3089526606443,273,3.5,3700,0.181
"Carelon Global Solutions",24,"Software Product","Bangalore / Bengaluru",10.3089526606443,18,3.8,3700,0.261
"XpressBees",23,"Internet","Pune",10.3089526606443,468,4.2,3700,0.079
"Bank of America",66,"Other","Other",10.3089526606443,34,4.2,3700,0.274
"PVR Inox",51,"Other","New Delhi",10.3089526606443,150,3.9,3600,0.093
"Alembic Pharmaceuticals",34,"Pharma","Other",10.3089526606443,183,3.9,3600,0.149
"Publicis Sapient",27,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,44,3.4,3600,0.299
"American Express",36,"Financial Services","Other",8.9226582995244,51,4.1,3600,0.235
"Viatris",94,"Pharma","Other",8.9226582995244,80,4.1,3600,0.141
"Subros",27,"Auto Components","Other",8.9226582995244,86,3.8,3600,0.123
"Pidilite Industries",92,"Other","Mumbai",11.9183905730784,294,4.2,3600,0.111
"Kogta Financial India Limited",16,"Other","Other",10.3089526606443,245,4.7,3600,0.017
"Automatic Data Processing (ADP)",15,"Software Product","Other",10.3089526606443,39,3.9,3600,0.215
"Escorts Kubota Limited",47,"Other","Other",10.3089526606443,149,4.1,3500,0.129
"Sodexo",NA,"Other","Mumbai",10.3089526606443,154,4,3500,0.098
"PNB MetLife",101,"Other","New Delhi",8.00636756765025,410,3.4,3500,0.079
"Maersk",75,"Other","Chennai",10.3089526606443,48,4,3500,0.184
"Aditya Birla Sun Life Insurance",120,"Other","Mumbai",10.3089526606443,473,4,3500,0.097
"Samvardhana Motherson Group",45,"Auto Components","Other",8.9226582995244,91,3.7,3500,0.122
"Godrej & Boyce Manufacturing",26,"Other","Mumbai",10.3089526606443,158,3.9,3500,0.147
"Dabur",36,"Other","New Delhi",8.00636756765025,312,3.9,3500,0.086
"Abbott",34,"Pharma","Mumbai",8.00636756765025,209,4.1,3500,0.114
"Synechron",49,"IT Services & Consulting","Pune",8.9226582995244,31,3.5,3500,0.273
"Birlasoft",79,"IT Services & Consulting","Pune",11.9183905730784,48,3.5,3500,0.293
"Cogent E Services",8,"Other","Other",4.83230575857184,55,3.1,3500,0.099
"Bharat Electronics",24,"Other","Bangalore / Bengaluru",8.9226582995244,86,4.2,3500,0.122
"Glenmark Pharmaceuticals",25,"Pharma","Mumbai",10.3089526606443,173,3.8,3400,0.117
"Kyndryl",NA,"IT Services & Consulting","Bangalore / Bengaluru",10.3089526606443,36,3.9,3500,0.25
"Grasim Industries",22,"Other","Other",10.3089526606443,230,4,3400,0.125
"Tata Capital",139,"Other","Mumbai",8.9226582995244,329,4,3400,0.108
"Kotak Mahindara Life Insurance",10,"Other","Mumbai",8.9226582995244,248,3.6,3400,0.125
"Aarti Industries",NA,"Other","Other",10.3089526606443,57,4,3400,0.139
"JK Cement",16,"Other","New Delhi",10.3089526606443,314,4,3400,0.095
