"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Volksoft Technologies",125,"Software Product","Other",8.00636756765025,0.693147180559945,4.3,5.26269018890489,-6.45033043194326
"Modicare",16,"Other","New Delhi",4.83230575857184,3.80666248977032,4.1,5.26269018890489,-4.90898164036976
"Anu Industries",28,"Other","Other",4.83230575857184,2.63905732961526,3.4,5.26269018890489,-4.95899206094442
"Integrated Personnel Services Limited",37,"Other","Mumbai",8.00636756765025,3.52636052461616,4,5.26269018890489,-4.77358883761305
"Amrita Vishwa Vidyapeetham",92,"Education & Training","Other",6.62073965107352,2.56494935746154,3.9,5.26269018890489,-4.50986000618377
"BPO+",54,"Other","New Delhi",5.85936070647464,3.8286413964891,4.2,5.26269018890489,-4.07454193492592
"Elofic Industries",45,"Auto Components","Other",5.85936070647464,2.83321334405622,4,5.26269018890489,-4.92262441677354
"Logicon Facility Management",9,"Other","Pune",6.62073965107352,2.63905732961526,3.4,5.26785815906333,-4.91988093082779
"Fusion Finance",8,NA,"Other",4.83230575857184,NA,4,5.26269018890489,-5.46555328592395
"Fisdom",114,"Financial Services","Bangalore / Bengaluru",5.85936070647464,3.43398720448515,3.3,5.26269018890489,-4.82332619579126
"Go Speedy Go",36,"Other","Other",8.00636756765025,2.484906649788,4.5,5.26269018890489,-6.95904857336969
"Bo International",30,"Other","New Delhi",8.00636756765025,0.693147180559945,4,5.26269018890489,-5.47744403244547
"InSync Analytics",30,"Other","Mumbai",5.85936070647464,1.6094379124341,2.6,5.25749537202778,-4.42284862919414
"Oasis Fertility",19,"Healthcare","Other",4.83230575857184,2.99573227355399,3.8,5.25749537202778,-5.20119065581731
"Symphoni HR",25,"Other","Mumbai",8.00636756765025,0,4.1,5.25749537202778,-5.73837391942582
"Chaitanya Projects Consultancy",12,"Financial Services","Other",4.83230575857184,3.89182029811063,3.9,5.25749537202778,-5.16378647359043
"Smart Energy Water",31,"IT Services & Consulting","Other",8.00636756765025,1.38629436111989,2.9,5.25749537202778,-4.19970507787993
"Gulbrandsen",20,"Other","Other",8.9226582995244,2.39789527279837,4.1,5.25749537202778,-4.60517018598809
"Hindustan PowerProjects",24,"Other","Other",6.62073965107352,2.89037175789616,3.8,5.25749537202778,-4.74788648818969
"Biophore India Pharmaceuticals",12,NA,"Other",NA,NA,3.3,5.25749537202778,-4.69948086545933
"Raheja Developers",25,"Real Estate","Other",4.83230575857184,1.79175946922805,3,5.25749537202778,-4.87697890928358
"Sanmar Group",8,"Other","Chennai",5.85936070647464,2.83321334405622,3.6,5.25749537202778,-4.87829210710854
"Kerakoll",105,"Other","Other",4.83230575857184,3.76120011569356,4.2,5.25749537202778,-5.05930046607754
"Andhra Pradesh State Skill Development Corporation",13,"Other","Other",5.85936070647464,3.40119738166216,4.1,5.25749537202778,-5.20665017802221
"Nuance Transcription Services",26,"IT Services & Consulting","Bangalore / Bengaluru",6.62073965107352,2.30258509299405,4.2,5.25749537202778,-5.21950618612375
"Exeltis",NA,"Pharma","Mumbai",NA,3.58351893845611,4.1,5.25749537202778,-5.28441446137905
"JNET Technologies",80,"IT Services & Consulting","Other",8.00636756765025,3.17805383034795,3.8,5.25749537202778,-4.96757580463581
"Riviera Infraprojects",43,NA,"Other",6.62073965107352,NA,4.1,5.25749537202778,-5.1243640594246
"Marque Impex",NA,"Other","Other",8.00636756765025,1.6094379124341,4.1,5.25749537202778,-5.06403607082337
"Accord Synergy",14,"Other","Other",6.62073965107352,3.29583686600433,3.5,5.25749537202778,-5.5065723053685
"PagarBook",29,"Software Product","Bangalore / Bengaluru",5.85936070647464,3.2188758248682,3.6,5.25749537202778,-4.86264641638281
"Maahi Milk Producer Company",28,"Other","Other",5.85936070647464,3.3322045101752,4.2,5.25749537202778,-5.31241629092754
"Marolix Technology Solutions",31,"IT Services & Consulting","Other",8.00636756765025,1.38629436111989,3,5.25749537202778,-4.50986000618377
"Sel Manufacturing Co.",13,"Other","Other",8.00636756765025,2.63905732961526,3.7,5.25749537202778,-5.02524144648562
"ZunRoof Tech",39,"Other","Other",6.62073965107352,3.04452243772342,4,5.25749537202778,-5.43299226987464
"Pathfinder Business Analysis",27,"Other","Other",5.85936070647464,2.56494935746154,3.3,5.26269018890489,-4.50986000618377
"Dr Oetker",24,"Other","New Delhi",5.85936070647464,3.43398720448515,4.3,5.25749537202778,-4.8383640731558
"SBL",59,"IT Services & Consulting","New Delhi",5.85936070647464,3.29583686600433,3.6,5.26269018890489,-4.85491441909948
"OSI Digital",92,"IT Services & Consulting","Other",5.85936070647464,1.38629436111989,3.6,5.25749537202778,-3.91202300542815
"Igarashi Motors",73,"Auto Components","Chennai",4.83230575857184,1.94591014905531,3.9,5.25749537202778,-4.60517018598809
"Hyundai Motor India Engineering",NA,"IT Services & Consulting","Other",NA,2.19722457733622,3.9,5.25749537202778,-4.50986000618377
"AGROCEL INDUSTRIES",40,"Other","Other",8.00636756765025,2.99573227355399,4.3,5.25749537202778,-5.06879420826979
"Network Intelligence India",33,"Other","Mumbai",5.85936070647464,2.07944154167984,3.3,5.25749537202778,-4.3428059215206
"Doubletree By Hilton",NA,"Other","Other",5.85936070647464,3.04452243772342,4,5.25749537202778,-5.23628197562858
"Teachers Insurance and Annuity Association of America",18,NA,"Other",5.85936070647464,NA,3.8,5.25749537202778,-4.01738352108597
"Relevantz Technology Services",32,"IT Services & Consulting","Chennai",6.62073965107352,1.79175946922805,3.8,5.25749537202778,-4.3428059215206
"FAIRWAY ENTERPRISES",21,"Other","Other",5.85936070647464,2.19722457733622,3.8,5.25749537202778,-4.76182399603347
"ATLBattery Technology (India) Private Limited",32,"Other","Other",6.62073965107352,2.30258509299405,3.6,5.25749537202778,-5.18677599181513
"eligarf Technologies",20,"Other","Pune",6.62073965107352,0.693147180559945,4.1,5.25749537202778,-6.18991548583182
"Vinculum Solutions",78,"IT Services & Consulting","Other",8.00636756765025,1.6094379124341,2.8,5.25227342804663,-4.26869794936688
"Analytix Business Solutions",58,"Other","Other",8.00636756765025,2.07944154167984,3.4,5.25227342804663,-4.50986000618377
"Inchcape Shipping Services",112,"Other","Chennai",4.83230575857184,2.70805020110221,3.3,5.25227342804663,-4.50986000618377
"IIHT",77,NA,"Other",6.62073965107352,NA,4.1,5.25227342804663,-4.76651333639685
"Cube Highways",102,NA,"Other",10.3089526606443,NA,4.2,5.25749537202778,-5.1690450308439
"Akkodis",27,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,2.19722457733622,3.1,5.25227342804663,-4.60517018598809
"Loconav",14,"Software Product","Other",5.85936070647464,2.19722457733622,3,5.25227342804663,-4.50986000618377
"Manohar Filaments",35,"Other","New Delhi",5.85936070647464,2.70805020110221,3.8,5.25227342804663,-4.72058103749942
"SPRAY ENGINEERING DEVICES",71,"Industrial Machinery","Other",4.83230575857184,2.56494935746154,4.3,5.25227342804663,-4.93228632768528
"Chrysalis High",12,NA,"Other",4.83230575857184,NA,3.8,5.25749537202778,-5.05302101059269
"CIMS Hospital",21,"Healthcare","Other",6.62073965107352,2.89037175789616,4.1,5.25227342804663,-5.13110944756413
"Sun Direct TV",121,"Other","Chennai",5.85936070647464,3.93182563272433,3.8,5.25749537202778,-5.07837894618278
"Codeyoung",18,NA,"Other",NA,NA,3.7,5.25227342804663,-5.14131361773837
"DST Worldwide Services",18,NA,"Other",6.62073965107352,NA,4.1,5.25227342804663,-4.6575166663603
"Dayal Fertilizers",16,"Other","Other",4.83230575857184,3.89182029811063,3.7,5.25227342804663,-5.48705949114491
"Wings Biotech",129,"Pharma","New Delhi",4.83230575857184,3.46573590279973,3.1,5.25227342804663,-5.3538300764783
"The Sleep Company",9,"Other","Mumbai",4.83230575857184,3.2188758248682,4,5.25227342804663,-4.92125173296157
"NATIONAL SKILL DEVELOPMENT CORPORATION",17,"Other","New Delhi",6.62073965107352,3.85014760171006,3.5,5.25227342804663,-4.73984508931469
"Sahajanand Laser Technology",13,"Industrial Machinery","Other",4.83230575857184,3.09104245335832,3.2,5.25227342804663,-4.79391231058497
"Rama University",15,NA,"Other",5.85936070647464,NA,3.4,5.25749537202778,-5.21950618612375
"Radhakrishna Foodland",71,"Other","Mumbai",8.00636756765025,3.43398720448515,3.8,5.25227342804663,-4.95614710881219
"Ramoji Film City",73,"Other","Other",5.85936070647464,2.39789527279837,4.1,5.25227342804663,-5.11599580975408
"Vnr Seeds",43,"Other","Other",6.62073965107352,3.80666248977032,4,5.25227342804663,-4.99230433741153
"Flex Technologies",17,NA,"Other",6.62073965107352,NA,3.9,5.25749537202778,-4.26869794936688
"SAS",22,"IT Services & Consulting","Pune",8.00636756765025,3.04452243772342,4.1,5.25227342804663,-4.13516655674236
"Ankura Hospital",25,"Healthcare","Other",4.83230575857184,2.30258509299405,3.8,5.25227342804663,-4.7273378199623
"Tokai Imperial Rubber India",29,"Industrial Machinery","Other",8.00636756765025,2.39789527279837,3.9,5.25749537202778,-4.83710224333538
"Taikisha Engineering India",17,"Industrial Machinery","Pune",8.00636756765025,2.56494935746154,3.8,5.25227342804663,-4.60517018598809
"Skandhanshi Infra Projects",NA,"Real Estate","Other",10.3089526606443,2.07944154167984,4.2,5.25227342804663,-4.77004482917833
"Vensure Employer Services",34,"Other","Other",6.62073965107352,1.38629436111989,3.8,5.25227342804663,-6.16106733149416
"FreshersNow",7,NA,"Other",4.83230575857184,NA,3.9,5.25227342804663,-6.18504929618065
"Amentum",NA,"Other","Bangalore / Bengaluru",5.85936070647464,3.09104245335832,4.1,5.25227342804663,-6.00759392903787
"Embitel Technologies",33,"IT Services & Consulting","Bangalore / Bengaluru",8.00636756765025,1.38629436111989,3.8,5.24702407216049,-3.91202300542815
"UL Solutions",39,"Other","Bangalore / Bengaluru",6.62073965107352,2.19722457733622,4,5.24702407216049,-4.94204250263064
"Taggd",93,"Other","Other",NA,2.77258872223978,3.3,5.24702407216049,-5.06245504282605
"TEOCO Software",28,"IT Services & Consulting","Other",4.83230575857184,2.07944154167984,3.7,5.24702407216049,-4.72395372197806
"UFO Moviez",51,"Other","Mumbai",4.83230575857184,3.43398720448515,3,5.25227342804663,-4.7525107738868
