"YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE","logPACKAGE","logREVIEWS","logRATING","logBRANCHES"
65,"Other","Mumbai",4.83230575857184,13,4,112,0.00292,-5.83617166270195,4.71849887129509,1.38629436111989,2.56494935746154
30,"Healthcare","Other",6.62073965107352,5,4.1,111,0.00244,-6.01575723967703,4.70953020131233,1.41098697371026,1.6094379124341
17,"Industrial Machinery","Other",5.85936070647464,9,4.3,111,0.00243,-6.01986402162968,4.70953020131233,1.45861502269952,2.19722457733622
119,"Other","Other",5.85936070647464,18,3.9,110,0.00386,-5.5570880955054,4.70048036579242,1.3609765531356,2.89037175789616
22,"IT Services & Consulting","Other",5.85936070647464,15,3.2,110,0.00411,-5.49433225047399,4.70048036579242,1.16315080980568,2.70805020110221
33,"Other","Chennai",6.62073965107352,8,4.2,110,0.00403,-5.51398890302355,4.70048036579242,1.43508452528932,2.07944154167984
25,"Other","Other",4.83230575857184,18,4,110,0.00406,-5.5065723053685,4.70048036579242,1.38629436111989,2.89037175789616
22,"Real Estate","Other",6.62073965107352,6,3.4,110,0.00401,-5.51896403766366,4.70048036579242,1.22377543162212,1.79175946922805
10,"Other","Other",NA,4,4.1,110,0.00404,-5.51151058700908,4.70048036579242,1.41098697371026,1.38629436111989
NA,"Auto Components","Pune",8.00636756765025,5,4.2,110,0.00438,-5.43070655459378,4.70048036579242,1.43508452528932,1.6094379124341
24,"Education & Training","Other",5.85936070647464,15,4,110,0.00427,-5.4561414517416,4.70048036579242,1.38629436111989,2.70805020110221
63,"Other","Other",5.85936070647464,18,3.1,110,0.00595,-5.1243640594246,4.70048036579242,1.1314021114911,2.89037175789616
29,"Financial Services","Bangalore / Bengaluru",4.83230575857184,4,2.8,110,0.00766,-4.87174329522964,4.70048036579242,1.02961941718116,1.38629436111989
22,"IT Services & Consulting","Other",5.85936070647464,1,3.6,110,0.0068,-4.99083266680008,4.70048036579242,1.28093384546206,0
19,NA,"Other",NA,NA,3.2,110,0.00685,-4.983506626708,4.70048036579242,1.16315080980568,NA
39,"Other","Other",4.83230575857184,4,4.1,110,0.00625,-5.07517381523383,4.70048036579242,1.41098697371026,1.38629436111989
24,NA,"Other",4.83230575857184,NA,4,110,0.00608,-5.10275058300406,4.70048036579242,1.38629436111989,NA
37,"Other","Other",NA,9,3.5,110,0.00612,-5.0961931824579,4.70048036579242,1.25276296849537,2.19722457733622
21,"IT Services & Consulting","Pune",4.83230575857184,2,3.4,110,0.00612,-5.0961931824579,4.70048036579242,1.22377543162212,0.693147180559945
17,"Other","Pune",4.83230575857184,18,3.5,110,0.00564,-5.17787121347217,4.70048036579242,1.25276296849537,2.89037175789616
60,"Other","Bangalore / Bengaluru",10.3089526606443,22,3.9,110,0.00549,-5.2048270234607,4.70048036579242,1.3609765531356,3.09104245335832
23,"Engineering & Construction","Other",8.00636756765025,41,4.1,110,0.00553,-5.19756746344789,4.70048036579242,1.41098697371026,3.71357206670431
NA,"Other","Other",4.83230575857184,20,3.3,110,0.00532,-5.23628197562858,4.70048036579242,1.19392246847243,2.99573227355399
36,"Other","Mumbai",6.62073965107352,4,3.6,110,0.00523,-5.25334400090531,4.70048036579242,1.28093384546206,1.38629436111989
15,"Other","Pune",4.83230575857184,11,3.7,110,0.00522,-5.25525787708759,4.70048036579242,1.30833281965018,2.39789527279837
42,"Healthcare","Other",4.83230575857184,3,3.6,110,0.00497,-5.3043354388736,4.70048036579242,1.28093384546206,1.09861228866811
49,"Industrial Machinery","Other",4.83230575857184,12,3.7,110,0.00495,-5.30836770240154,4.70048036579242,1.30833281965018,2.484906649788
136,"Engineering & Construction","Other",10.3089526606443,24,3.9,110,0.00484,-5.3308405582536,4.70048036579242,1.3609765531356,3.17805383034795
14,"Other","New Delhi",5.85936070647464,5,3.3,110,0.0049,-5.31852007386556,4.70048036579242,1.19392246847243,1.6094379124341
53,"Pharma","Bangalore / Bengaluru",5.85936070647464,24,4,110,0.00472,-5.35594647938467,4.70048036579242,1.38629436111989,3.17805383034795
20,"IT Services & Consulting","Other",8.00636756765025,4,4,110,0.00481,-5.33705819486447,4.70048036579242,1.38629436111989,1.38629436111989
14,NA,"Other",5.85936070647464,NA,3.8,110,0.00467,-5.36659620730133,4.70048036579242,1.33500106673234,NA
8,"Other","Other",4.83230575857184,42,3.9,110,0.00465,-5.37088805938287,4.70048036579242,1.3609765531356,3.73766961828337
27,"Education & Training","Mumbai",4.83230575857184,14,3.8,110,0.00172,-6.36543098815677,4.70048036579242,1.33500106673234,2.63905732961526
9,"Other","Other",4.83230575857184,9,4.5,110,0.00162,-6.42532912973784,4.70048036579242,1.50407739677627,2.19722457733622
24,"Engineering & Construction","Mumbai",8.00636756765025,11,3.5,110,0.00597,-5.12100835157763,4.70048036579242,1.25276296849537,2.39789527279837
NA,"IT Services & Consulting","Mumbai",8.00636756765025,6,3.4,110,0.009,-4.71053070164592,4.70048036579242,1.22377543162212,1.79175946922805
44,"Healthcare","New Delhi",8.00636756765025,6,2.8,110,0.00346,-5.6664866899125,4.70048036579242,1.02961941718116,1.79175946922805
9,"Other","Mumbai",4.83230575857184,4,3.8,110,0.00564,-5.17787121347217,4.70048036579242,1.33500106673234,1.38629436111989
33,"Other","Mumbai",NA,7,3,110,0.00737,-4.91033757278089,4.70048036579242,1.09861228866811,1.94591014905531
23,"Industrial Machinery","Bangalore / Bengaluru",8.00636756765025,7,3.1,111,0.00562,-5.18142361507654,4.70953020131233,1.1314021114911,1.94591014905531
NA,"Other","Bangalore / Bengaluru",4.83230575857184,12,3.2,110,0.00685,-4.983506626708,4.70048036579242,1.16315080980568,2.484906649788
48,"IT Services & Consulting","Bangalore / Bengaluru",5.85936070647464,11,4.2,110,0.00828,-4.79391231058497,4.70048036579242,1.43508452528932,2.39789527279837
NA,"Other","Other",NA,35,4.2,110,0.00421,-5.47029263128785,4.70048036579242,1.43508452528932,3.55534806148941
41,"Pharma","Other",4.83230575857184,15,3.7,110,0.00406,-5.5065723053685,4.70048036579242,1.30833281965018,2.70805020110221
NA,"Other","New Delhi",4.83230575857184,17,3.5,110,0.00361,-5.62404750663735,4.70048036579242,1.25276296849537,2.83321334405622
32,"Other","Bangalore / Bengaluru",4.83230575857184,22,4,110,0.00418,-5.47744403244547,4.70048036579242,1.38629436111989,3.09104245335832
6,"Other","Other",6.62073965107352,11,4,110,0.00541,-5.21950618612375,4.70048036579242,1.38629436111989,2.39789527279837
NA,"Financial Services","Mumbai",NA,41,3.4,111,0.0052,-5.25909665339476,4.70953020131233,1.22377543162212,3.71357206670431
11,"Other","Other",NA,7,3.5,110,0.00672,-5.00266712444708,4.70048036579242,1.25276296849537,1.94591014905531
NA,"Other","Other",NA,8,2.8,110,0.00429,-5.45146854604221,4.70048036579242,1.02961941718116,2.07944154167984
141,"Other","Other",4.83230575857184,19,4.5,110,0.00464,-5.37304091274397,4.70048036579242,1.50407739677627,2.94443897916644
31,"Other","Pune",5.85936070647464,6,3.2,110,0.00648,-5.03903476861795,4.70048036579242,1.16315080980568,1.79175946922805
37,"Other","New Delhi",8.00636756765025,13,2.9,110,0.00552,-5.19937741869313,4.70048036579242,1.06471073699243,2.56494935746154
18,"Engineering & Construction","Mumbai",1.70474809223843,10,3.9,110,0.0089,-4.72170400224404,4.70048036579242,1.3609765531356,2.30258509299405
29,"Other","Other",5.85936070647464,6,3.9,110,0.0051,-5.27851473925186,4.70048036579242,1.3609765531356,1.79175946922805
